직무 단위,업무(기능) 단위,동사 키워드 정리,세부 동사 추출,AI 협업 강도,협업 강도 근거
HR / 조직,인간–AI 협업을 위한 인재 확보 및 역량 개발,Decide,"  • 확보하다
  • 개발하다",Medium,"  • AI Capability: AI는 학습 지원 및 정보 제공을 통해 직원의 역량 개발을 보조할 수 있음. → 논문에서 AI는 직원 업무를 지원하고 효율성을 높이는 도구로 작동함
  • 인간 Capability: 인간은 협업을 위한 역량 개발 방향 설정, 학습 설계, 조직 맥락 적용을 수행해야 함."
관리자 / 리더,AI 역량 이해 및 도입 기회 평가,Decide,"  • 평가하다",Medium,"  • AI Capability: AI는 다양한 데이터 분석과 패턴 인식을 통해 서비스 개선 기회를 식별하고 의사결정을 지원할 수 있음.
  • 인간 Capability: 인간은 AI의 기능과 한계를 이해하고, 실제 서비스 맥락에서 적용 가능성을 판단해야 함."
관리자 / 리더,AI 도입 변화관리 및 조직 내 수용 촉진,Interact,"  • 촉진하다
  • 변화관리하다",Low,"AI 도입 시 직원 불안, 저항, 불확실성 관리가 중요하며 리더가 이를 조율해야 한다고 설명됨. 감정·관계 기반 업무로 인간 중심."
운영/실무자,"반복적·정형화된 업무 수행 (입출고, 단순 처리)",Operate,,High,"정형·반복 업무는 AI 자동화에 적합하며 인간 개입 없이 수행 가능함. 특히 창고 업무처럼 단순 클릭 기반 작업은 AI가 완전히 대체 가능하며, 인간은 고부가가치 업무로 이동하게 됨."
운영/실무자,개인 전략 기반 업무 수행 및 조정,Decide,"  • 수행하다
  • 조정하다",Medium,"  • AI Capability: AI는 특정 전략(예: 주문 추천, 계획 제안 등)을 기반으로 의사결정 옵션을 제공함. 특히 전문가 기반 로직 또는 데이터 기반 추천을 통해 사용자 의사결정을 보조함.
  • 인간 Capability: 인간은 자신의 전략, 선호, 상황 판단을 반영하여 AI 추천을 선택하거나 수정함. 또한 사용자 스스로 AI를 커스터마이징하며 의사결정 기준을 설정함.
  • 개인 전략과 AI 추천이 결합되는 구조이므로 인간과 AI의 역할이 상호보완적으로 작용함."
운영/실무자,"AI 추천 결과 해석 ",Analyze,"  • 해석하다",Medium,"  • AI Capability: AI는 자동화된 의사결정 및 계산 결과를 생성하지만, 그 과정은 사용자에게 불투명하게 작동하는 경우가 많음(black box 문제)
  • 인간 Capability: 인간은 AI 결과의 신뢰성을 검증하고, 오류 가능성을 점검하며, 필요 시 재계산 또는 수정하는 역할을 수행함. 실제로 사용자들은 AI 결과를 다시 검증하는 행동을 보임."
운영/실무자,"비정형 업무 의사결정 수행 (주문 선택, 계획 수립 등)",Decide,"  • 의사결정하다
  • 선택하다",Low,비정형 업무는 명확한 규칙이 없고 상황 판단과 직관이 필요함. 논문에서는 이러한 업무는 AI가 완전히 대체할 수 없으며 인간의 판단이 필수적이라고 설명함.
운영/실무자,데이터 기반 의사결정 보조 및 분석,Decide,"  • 보조하다",Medium,"  • AI Capability: 계산·분석 지원
  • 인간 Capability: 최종 판단 수행"
운영/실무자,데이터 계산 및 오류 최소화 처리,Operate,,High,AI는 계산 기반 업무에서 인간보다 높은 정확성을 보이며 오류를 줄이는 데 효과적임. AI가 계산 오류를 제거하고 의사결정 과정에서 발생하는 수치적 실수를 감소시키기 때문에 이는 인간보다 AI의 수행 정확성이 높은 대표적인 영역임.
관리자 / 리더,인간–AI 협업 구조 설계 및 방향 판단,Decide / Govern,"  • 판단하다",Low,리더십은 인간–AI 관계를 매개하고 협업 구조를 설계하는 핵심 역할 수행. 전략적 판단과 책임 요구됨
조직 구성원,인간–AI 협업 기반 문제 해결 수행,Analyze / Decide,"  • 해결하다",Medium,"  • AI Capability: AI는 대량 데이터 분석 및 예측 제공
  • Human Capability: 인간은 창의성, 공감, 윤리 판단을 통해 문제 해결 완성
→ 인간 판단 + AI 분석 결합 구조 (hybrid interaction)"
조직 구성원,AI 결과를 맥락에 맞게 해석 및 적용,Analyze,"  • 해석하다
  • 적용하다",Medium,"  • AI Capability: AI는 데이터 처리와 패턴 인식을 통해 분석 결과를 생성함.
  • Human Capability: 인간은 경험과 맥락을 기반으로 결과를 해석하고 실제 상황에 적용함."
조직 구성원,AI 기반 데이터 처리 및 분석 수행,Operate / Analyze,,High,"AI는 데이터 처리, 패턴 인식, 분석에서 강점"
관리자 / 리더,AI 시스템 거버넌스 및 통제 구축,Build,"  • 구축하다",Low,"AI 시스템에는 governance framework 필요, 이는 인간 중심 관리 영역"
관리자 / 리더,AI 활용 의사결정에 대한 윤리적 판단,Decide,"  • 판단하다",Low,"AI는 윤리 판단 수행 불가, 인간이 윤리·책임 기반 의사결정 수행"
공공서비스 운영 담당자,정확한 서비스 정보 제공 및 일관된 결과 산출,Validate,"  • 제공하다
  • 산출하다",High,"논문은 서비스 정확성을 “AI 도구가 정확한 서비스 정보를 제공하고, 정밀하고 신뢰할 수 있는 정보를 산출하며, 오류가 드물고, 일관된 결과를 제공하는 것”으로 측정했다. 또한 정확성이 지각된 서비스 가치에 가장 강한 영향요인으로 나타났고, 인간–AI 협업의 조절효과는 유의하지 않았다. 즉, 이 기능은 인간 개입보다 AI의 정밀성과 일관성이 성과를 좌우하는 대표 영역이다."
공공서비스 관리자 / 정책설계자,서비스 가치와 시민 만족 향상을 위한 AI 운영 설계,Build,"  • 설계하다",Low,"논문은 공공서비스 설계에서 정확성·투명성·신뢰를 우선 확보하고, 그 후에 인간–AI 협업 같은 고도화 요소를 더해야 한다고 보여준다. 특히 NCA는 정확성·투명성·신뢰가 일정 임계치에 도달하지 않으면 만족 향상이 제한된다고 제시한다. 이런 임계치 기반 우선순위 설정과 운영 설계는 전략적 판단과 공공책임을 요구하므로 인간 주도 의사결정 기능이다."
공공서비스 관리자 / 정책설계자,AI 서비스의 공정성·투명성·책임성 보장,Govern,"  • 보장하다",Low,"논문은 AI 공공서비스의 과제 중 하나로 알고리즘 불투명성, 잠재적 편향, 책임성 문제를 제시하고, 공공가치이론 안에서 공정성·포용성·책임성을 유지해야 한다고 본다. 또한 인간–AI 협업은 윤리적이고 시민 중심적인 감독 구조를 만드는 장치로 설명된다. 따라서 이 기능은 기술 수행보다 제도 설계, 감독, 윤리 판단이 중심이므로 인간 주도 영역이다."
공공서비스 운영 담당자,복잡하거나 민감한 사례에 대한 인간 감독과 AI 보완,Govern,"  • 감독하다",Low,"논문은 인간–AI 협업을 “AI 도구와 직원이 효과적으로 협력하여 서비스를 제공하고, 함께 일함으로써 고품질 서비스를 보장하며, 복잡한 경우에는 인간 감독이 유지되는 구조”로 개념화한다. 또 인간–AI 협업은 루틴한 처리에서는 필수조건이 아니었지만, 복잡성·윤리성·신뢰가 중요한 장면에서 투명성과 신뢰 효과를 증폭하는 조절기제로 작동했다. 따라서 이 기능은 AI와 인간이 상호보완적으로 함께 작동하는 전형적인 Medium 영역이다."
공공서비스 운영 담당자,시민 신뢰 형성을 위한 서비스 제공 및 관계 관리,Disseminate / Govern,"  • 제공하다",Medium,"시민 신뢰는 AI 서비스가 시민의 최선의 이익을 위해 작동하고, 신뢰할 수 있으며, 의무를 제대로 수행한다고 믿는 정도로 측정되었다. 논문은 시민 신뢰가 지각된 서비스 가치에 유의한 영향을 미치며, 인간–AI 협업이 이 관계를 더 강하게 만든다고 밝혔다. 신뢰는 단순 정확성만으로 생기지 않고, 일관된 전달, 인간 감독, 공정성 및 시민 중심 정렬이 필요하므로 인간 Capability 비중이 크다."
공공서비스 운영 담당자,공공서비스 절차·상태·근거의 투명한 제공,Disseminate,"  • 제공하다",Medium,"논문은 투명성을 AI 기반 공공서비스가 운영과 의사결정 과정을 시민에게 접근 가능하고 이해 가능한 방식으로 전달하는 것으로 본다. 또 인간–AI 협업이 투명성이 지각된 서비스 가치에 미치는 영향을 유의하게 강화했다. 이는 AI가 정보 공개와 상태 업데이트를 수행할 수 있지만, 시민이 실제로 납득하고 신뢰하도록 만들기 위해서는 인간의 설명·맥락화·책임 있는 개입이 필요함을 보여준다."
생산관리,생산 데이터 패턴 분석 및 예측,Analyze,,High,머신러닝은 대량 데이터를 기반으로 패턴 분석과 예측을 수행하고 생산 최적화를 지원함. 데이터 기반 의사결정은 알고리즘 처리 중심으로 수행 가능하며 인간 개입 없이도 효율적으로 작동하는 영역으로 제시됨
생산관리,실시간 의사결정 및 대응,Decide,"  • 대응하다",Medium,"  • AI Capability: 실시간 데이터 기반 빠른 의사결정 및 자동 대응 수행 가능  
  • 인간 Capability: 긴급 상황 판단, 직관 기반 대응, 예외 상황 처리 수행 
  • 의사결정 속도가 중요한 경우 자동화가 유리하지만 특정 상황에서는 인간의 직관과 판단이 더 효과적일 수 있음"
생산관리,수요 예측 및 생산 계획,Analyze,"  • 예측하다
  • 계획하다",High,"머신러닝 기반 시스템은 수요 예측, 생산 일정 최적화, 공급망 데이터 분석을 수행하여 효율성을 향상시키는 핵심 도구로 제시됨"
생산관리,오류 탐지,Validate,"  • 탐지하다",Medium,"  • AI Capability: 데이터 기반 이상 탐지 및 오류 예측 수행 가능 
  • 인간 Capability: 오류 원인 분석, 대응 전략 수립, AI 결과 검증 및 수정 수행 오류 발생 가능성이 높을수록 인간 개입이 필요하며 AI는 탐지 역할 중심으로 작동한다고 제시됨"
생산관리,고복잡/전략적 의사결정,Decide,"  • 결정하다",Low,"복잡하고 비정형적인 의사결정은 높은 불확실성과 다양한 변수로 인해 인간의 경험, 직관, 전략적 판단이 필수적이며 AI는 보조적 인사이트 제공 역할에 머무름"
생산관리,중간 수준 의사결정 수행,Decide,"  • 수행하다",Medium,"  • AI Capability: 구조화된 데이터 기반으로 예측 결과 제공 및 의사결정 지원 수행 가능 
  • Human Capability: 복합 변수(자원, 병목, 상황 맥락)를 고려하여 결과 해석 및 최종 판단 수행 
  • 중간 수준의 복잡성에서는 AI가 의사결정을 지원하지만 인간의 해석과 개입이 필요하며 완전 자동화는 적절하지 않다고 설명됨"
생산관리,생산 프로세스 모니터링 및 최적화,Operate,,High,"AI는 센서 데이터와 생산 데이터를 실시간으로 분석하여 품질 개선, 다운타임 감소, 공정 최적화를 수행함. 반복적이고 규칙 기반인 공정 운영은 자동화에 적합한 영역으로 설명됨"
일반 직원,멘토와의 상호작용을 통한 암묵지 획득 (인지/기술),Interact,"  • 획득하다",Low,"  • AI Capability: AI는 정보 검색·필터링·지식 접근을 지원하여 학습 기반을 확장함 
  • Human Capability: 암묵지는 경험·관찰·상호작용을 통해서만 획득됨 "
일반 직원,업무 수행 중 AI 활용한 정보 탐색,Collect,"  • 탐색하다",High,반복적 정보 처리 업무의 경우 AI는 정보 검색·처리·필터링 자동 수행함.
일반 직원,멘토 지식 학습 및 내재화 (reflection & internalization),"Collect
","  • 학습하다
  • 내재화하다",Medium,"  • AI Capability: AI는 인지부담 감소 및 정보처리 지원 
  • Human Capability: 지식 해석·내면화는 인간의 인지적 처리와 학습 과정 필요"
병원 교대 근무 스케줄러,"근무 기준 및 규정 정의 (업무량 기준, 법적 근무 규정 산정)",Decide,"  • 정의하다",Low,"세 패러다임 공통으로 이 기능은 AI가 수행하지 않음. 규정·기준 설정은 책임성이 높아 인간의 판단 필수.

논문 Table 1 (Supervisory 조건 설명부): ""CareShifts defines work standards"" — 단, Supervisory 패러다임에서만 AI가 이 기능 일부 수행하며 이때 직무 의미감(job meaningfulness)이 가장 낮게 나타남 (p. 130:14)."
병원 교대 근무 스케줄러,"간호사 선호·불만 조율 (비공식 협상, 교환 요청 처리)",Interact,"  • 조율하다",Low,"여러 이해관계자의 요구를 통합하는 기능. AI는 규칙 기반 통합 가능하나, 개인 사정·감정적 맥락 통합은 인간 필요.

Interactive 패러다임에서 이 기능의 협업이 직무 의미감 향상에 기여 (Table 3 참조)."
병원 교대 근무 스케줄러,간호사들에게 일정 공지 및 전달,Disseminate,"  • 공지하다
  • 전달하다",Low,"시나리오에서 최종 근무표 전달은 관리자(인간)의 역할.

관계 기반 전달(설명, 이의 조율 등)은 AI 대체 불가. 논문에서 ""human commodities""에 해당하는 암묵적 기능으로 언급 (implicit function 영역)."
병원 교대 근무 스케줄러,최종 근무표 승인,Decide / Govern,"  • 승인하다",Low,"인간이 의사결정에 직접 관여하고 책임(accountability)을 질 때 직무 의미감이 높아짐.

Supervisory 패러다임(AI가 대부분 결정)에서 의미감이 가장 낮았고, 

Interactive 패러다임(인간이 최종 결정)에서 가장 높음. ""Higher accountability for the human to explain the decisions corresponds with higher perception of job meaningfulness"" (p. 130:16)."
병원 교대 근무 스케줄러,근무표 검토 및 수정 (공정성·법적 요건 검증),Validate / Manipulate,"  • 검토하다
  • 수정하다",Medium,"AI의 검증 역량은 높으나, 공정성(fairness)·개인 상황 판단을 위한 인간의 가치 판단이 반드시 필요.

논문에서 Interactive 패러다임의 핵심은 인간이 검증에 적극 참여해 책임감을 유지하는 것임 (pp. 130:14–16)."
병원 교대 근무 스케줄러,교대 일정 초안 생성 (근무표 Draft 작성),Build,,Medium,"AI가 초안을 생성하더라도 최종 산출물의 책임은 인간에게 귀속.

Interactive 패러다임에서 AI가 제안하고 인간이 공동 수정하는 방식이 가장 높은 직무 의미감과 연결됨 (p. 130:14, Table 3: Interactive 패러다임 teammate 조건 평균 4.82로 최고치)."
병원 교대 근무 스케줄러,간호사 개인 선호 및 필요 수집 (개인 일정 요구사항 파악),Collect,,High,"정보 수집 자체는 절차적으로 자동화 가능.

CareShifts가 ""employees' needs""를 입력받아 처리하는 것으로 시나리오에 명시됨 (논문 Table 1 시나리오 설명). 그러나 비공식적 맥락(관계 기반 정보)은 인간 수집 필요 — 논문 implicit function에 해당"
병원 교대 근무 스케줄러,필요 간호 인력 수 산출 (시간대별 필요 인원 계산),Analyze,"  • 산출하다",High,"법적 기준·수요 예측을 기반으로 한 수치 계산 업무로 절차적 처리가 가능. AI 역량 높고 인간 부가가치 낮음. 

Supervisory 조건에서 AI가 전담 수행하며, 논문에서 이 기능의 AI 자동화에 대한 저항감은 관찰되지 않음. (p. 130:16 참조, 성과 지각 분석 결과)"
병원 교대 근무 스케줄러,미래 활동 수요 예측 (피크/여유 시간대 예측),Analyze,"  • 예측하다",Medium,"AI의 역량(예측 능력)이 높으나, 실제 간호 현장 맥락·돌발 상황 판단을 위한 인간 해석이 여전히 필요함. 

Supervisory/Advisory 패러다임 모두에서 CareShifts가 예측을 수행하나, Interactive 패러다임에서 인간과 공동 검토 시 직무 의미감이 가장 높게 측정됨 (p. 130:14, Table 3)."
공급망 관리자,공급망 수요 예측 (실시간 재고 데이터 기반 미래 수요 분석),Analyze,"  • 예측하다",Medium,"AI가 예측·분석 역량이 높으나, 제품 특성에 따라 인간 직관의 개입 정도가 달라짐.

논문 p.37: ""fast moving products with limited historical data may require higher human intuition than highly volatile products""(Nair & Saenz, 2024 인용).

McKinsey 조사 인용에 따르면, AI가 재고 관리 효율 65% 향상 (p.36). 완전 자동화보다 CAIT 방식이 요구됨."
공급망 관리자,이해관계자 소통,Interact,"  • 소통하다",Low,"공급업체·파트너와의 장기적 신뢰 관계 구축은 인간 고유 영역.

SCWB의 핵심 요소로 논문 p.38: ""long-term supplier relationships"" 관리는 인간 판단과 관계 기반 활동.

책임성 높은 관계 지향적 기능."
공급망 관리자,공급망 성과 데이터 수집 (내·외부 데이터 수집),Collect,,High,"대규모 실시간 데이터 처리는 AI가 효율적으로 수행.

논문 p.36: AI가 ""rich datasets for effective decision-making""을 분석.

데이터 수집 자체는 절차적이며 인간 부가가치 낮음."
공급망 관리자,물류 경로 최적화 (배달 경로 실시간 추적·조정,Operate,"  • 최적화하다",High,"UPS의 ORION 알고리즘 사례 인용 (p.36): AI가 마지막 배달 구간(last-mile delivery)을 추적·최적화.

절차적 처리 업무로 AI 역량 높고 인간 개입 필요성 낮음.

실증 사례 기반으로 AI 자동화가 이미 정착된 기능."
공급망 관리자,CAIT 전략 및 역할 경계 설정 (협업 구조·절차 수립),Govern,"  • 설정하다",Low,"CAIT 설계 시 인간과 AI의 책임 경계 설정, 조직 문화·훈련 체계 구축 등은 인간이 주도.

논문 p.37: ""Several challenges inhibit CAIT design… deciding the boundaries of human and AI responsibilities.""

전략적 의사결정 영역으로 인간 주도 필수."
공급망 관리자,공급망 지속가능성 통합 (환경·사회적 가치 내재화),Integrate,"  • 내재화하다",Medium,"  • AI Capability: AI가 저탄소 관리·그린 운송 네트워크 분석 등 데이터 처리는 가능. (p.43 인용: Roux et al., 2023)

  • 인간 Capability: 사회적·환경적 가치 판단을 위한 인간의 윤리 판단이 결합되어야 함.

  • 논문 p.43: ""AI system design must extend beyond analysing patterns and trends to understanding sustainability drives and goals within the framing of human intuitions and judgements.”"
공급망 관리자,"AI 시스템 공정성 확보 (편향, 비차별 확인)",Govern,"  • 확보하다
  • 확인하다",Low,"비차별(non-discrimination)은 AI 공정성의 핵심으로, 인간의 정책·기준 설정이 전제.

논문 p.41: ""AI fairness focuses on reducing unfair consequences, discrimination and misjudgement of a specific user group.""

규제·감독 구조가 필요하여 책임성 높음."
공급망 관리자,AI 알고리즘 설명 및 해석 (AI 출력 결과 모니터링·감사),Validate,"  • 설명하다
  • 모니터링하다
  • 감사하다",Medium,"  • AI accountability 차원에서 인간이 AI 시스템의 행동을 식별·해석·평가하는 역할을 담당.

  • 논문 p.40: ""AI accountability refers to the process of enabling the user to identify, interpret and evaluate the behaviour of an AI system""(Table 1).

  • AI가 산출하나 인간 검토 필수."
공급망 관리자,공급망 리스크 관리 (위험 식별·대응),Govern,"  • 식별하다
  • 대응하다",Medium,"AI 예측 역량은 높으나 80% 이상의 공급망 의사결정자가 AI 도구에 불만을 표시(Secondmind, 2024, p.36).

위기 상황(disruption)일수록 인간 개입 필요.

CAIT가 단독으로는 SCWB에 직접 유의한 영향 없음 — RAI 매개 필요 (본 논문 주요 결과, p.35)."
공급망 관리자,공급업체 선정 및 조달 (공급업체 평가·선택),Decide,"  • 선정하다",Low,"AI 기반 공급업체 선정은 역사 데이터의 편향(bias) 문제로 신뢰도 저하 위험.

논문 p.36: ""AI-driven supplier selection may overlook risk-prone suppliers or make biased decisions based on historical data.""

  • 책임성(accountability)이 높은 영역으로 인간 판단 필수."
HR 채용 담당자,이력서·지원서 수집 및 대량 처리 (지원자 풀 확보),Collect / Operate,,High,"AI가 소셜·전문직 미디어에서 대규모 후보 풀을 저비용으로 접근·수집하는 기능 (p.74).

99% Fortune 500 기업의 ATS(지원자 추적 시스템) 활용 사례 인용 (p.73).

절차적·반복적 정보 수집으로 AI 역량 高, 인간 부가가치 低."
HR 채용 담당자,채용 AI 시스템 관리·감독 및 윤리 기준 설정,Govern,"  • 관리하다
  • 감독하다
  • 설정하다",Low,"AI opacity, AI empathy 억제 요인 관리 및 윤리적 AI 활용 기준 수립은 인간 주도.

""ethical implications of AI highlighting concerns regarding data security and privacy along with AI's potential biases"" (p.75).

조직의 AI 역량(AI competency) 확보 자체가 인간 주도의 거버넌스 기능."
HR 채용 담당자,"채용 결과 데이터 통합 ",Integrate,,Medium,"""AI offers considerable possibilities for strategic HR decision making and aligning HR plans with corporate objectives"" (p.76).

  • 인간 Capability: 다중 데이터 소스 통합을 AI가 지원하나, HR 전략과의 연계 판단은 인간 필요.

  • Recruitment agility enabler와 연결: AI가 ""improve data analysis for decision making"" (p.78)."
HR 채용 담당자,채용 직무기술서 작성 (JD 생성·표준화),Manipulate,"  • 작성하다
  • 표준화하다",Medium,"  • AI Capability: ""AI-powered tools enable organizations to…crafting job descriptions""이 AI 활용 기능으로 언급 (p.75).

  • 인간 Capability: 그러나 직무 요건의 적절성·형평성 판단은 인간 필요.

  • AI-enabled JD의 성별 편향 위험성 언급: ""gender prejudice in AI-enabled job advertisements"" (Lambrecht & Tucker, 2019, p.75)."
HR 채용 담당자,최종 채용 결정 및 합격자 선발,Decide,"  • 결정하다
  • 선발하다",Low,"Study 1 Figure 1 Human-driven hiring 항목의 마지막 항목: ""final decision""이 명시적으로 인간 영역 (p.77).

P24: ""Human recruiters can then focus on more nuanced tasks, such as conducting interviews, assessing cultural fit, and making final hiring decisions, where human judgment and empathy are crucial"" (p.79).

  • 책임성 최고 수준."
HR 채용 담당자,심층 면접 진행,Interact,"  • 면접하다",Low,"Study 1 Figure 1: ""personalized interaction, interviews, and final decision""은 Human-driven hiring 항목으로 분류 (p.77).

P10 응답: ""It would feel very cold to talk with an AI tool during a recruitment process, without any empathy"" (p.79).

관계 기반·감성 기반 활동으로 책임성 高, 인간 주도 필수."
채용 담당자,소프트스킬·감성·문화적 적합성 평가 (심층 면접 준비),Analyze / Decide,"  • 채용하다",Low,"Study 1 Figure 1 Human-driven hiring 항목에 ""Human judgment is required to assess soft skills (teamwork, adaptability), recruitment for senior positions, personalized interaction""으로 명시 (p.77).

AI empathy 문제: ""AI cannot perform the same as humans can to learn candidates' skills... AI tools might not be the best choice when evaluating soft skills and cultural fit, which call for human judgment and intuition"" (p.79)."
HR 채용 담당자,AI 기반 초기 후보자 평가 결과 검증 (편향·오류 확인),Validate,,Medium,"AI opacity 문제: ""AI-based tools can result in a black box type situation, where it can be difficult for us to ascertain the processes which lead the AI to exclude or include certain candidates"" (P24 인용, p.78).

  • 인간 Capability: AI 결과를 인간이 검토·확인하는 단계 필수.

Human-AI collaboration이 AI opacity 억제 효과를 유의하게 완화함을 실증 (Study 2 결과, p.73)."
HR 채용 담당자,후보자 초기 역량 데이터 분석 (스킬·자격 요건 분석),Analyze,,Medium,"  • AI Capability: AI가 ""data and insights about the recruitment process…tracking which qualifications are most important""를 수행. (P21 인용, p.78)

  • 인간 Capability: 데이터 해석과 채용 전략 적용은 인간 판단 필요.

  • AI opacity(불투명성) 문제로 AI 단독 분석 결과에 대한 신뢰도 제한 (p.78, 79).
  • Human-AI collaboration이 이 단계에서 효과 발휘."
HR 채용 담당자,이력서 스크리닝 및 요건 대조 (초기 적합성 필터링),Validate,,High,"Study 1 Figure 1 AI-driven hiring 항목에 ""resume screening, quick processing of large amounts of applications, use for repetitive and time-consuming tasks""로 명시 (p.77).

HR 응답자 P21: ""AI can quickly scan and evaluate a large volume of resumes, significantly reducing the time and effort required for initial screenings"" (p.78).

사전 정의된 기준에 따른 절차적 처리 업무."
호텔 종사자,체크인/체크아웃 처리 (자동화 키오스크·로봇 활용),Operate,,High,"호스피탈리티 AI 문헌에서 ""self-service kiosks and service robots that streamline check-in and delivery operations""으로 명시 (관련 인용 논문 p.254).

절차적·반복적 처리 업무로 AI 역량 높고 인간 부가가치 낮음.

본 논문의 AI 인식 맥락: 이 기능에서 AI 침범이 명확해 직원의 job threat awareness가 높게 나타남."
호텔 종사자,서비스 전략 결정 및 AI 채택 방향 설정,Decide,"  • 설정하다
  • 결정하다",Low,"변화지향적 리더십(change-oriented leadership)이 직원들이 AI 위협을 극복하고 능동적으로 AI 협업을 선택할 수 있도록 지원하는 '대처 전략'임.

AI 채택 방향 결정은 리더·직원의 인간 주도. 책임성 높음."
호텔 종사자,고객 서비스·감성 응대 (컨시어지·프론트 데스크 대면 서비스),Interact,"  • 응대하다",Low,"관련 문헌: ""frontline staff possessing non-cognitive skills (emotional, social, and personal competencies) that AI currently lacks""

AI 인식(job threat)이 높아도 대면 서비스의 감성·관계 역량은 인간 고유 영역으로 확인됨.

접근 동기(approach motivation) 활성화가 이 기능에서의 AI 협업을 이끄는 조건임."
호텔 종사자,고객 데이터 기반 수요·선호 분석,Analyze,,Medium,"  • AI Capability: AI가 ""data-driven analytics""로 분석 수행

  • 인간 Capability: 고객 맥락 이해와 서비스 전략 적용은 인간 판단 필요.

AI 인식이 높아도 분석 결과 해석과 서비스 적용은 직원 협업 필요."
호텔 종사자,고객 문의 대응 (챗봇·가상 어시스턴트 활용),Operate,"  • 대응하다",High,"""conversational chatbots and virtual assistants that provide instant guest support""

정형화된 질의응답 처리는 AI 주도 가능."
다산업 종사자,반복적 정보 수집 (루틴 데이터 수집·검색·입력 등),Collect / Operate,,High,"논문 p.4(H2 논거): ""AI tools such as chatbots for customer service or analytics platforms can manage routine responsibilities like information retrieval and pattern recognition, thereby alleviating the time and effort required of employees.""

절차적 반복 정보 처리 → AI 역량 高, 인간 부가가치 低."
다산업 종사자,창의적 과업 수행,Operate,"  • 수행하다",Medium,"논문 p.3: AI 협업으로 반복 업무 부담 감소 → 직원이 ""cognitively demanding and creative tasks""에 집중 가능(p.2).

  • 인간 Capability: 이 영역은 AI 지원이 있지만 인간의 인지적 참여가 핵심."
다산업 종사자,새로운 책임 수용 및 조직 기여 (적극적 행동),Interact,"  • 적응하다
  • 수용하다",Low,"논문에서 proactive behavior(적극적 행동)은 자기 주도적·미래 지향적 인간 행동으로 정의됨 (p.2).

""self-initiated, future-oriented actions intended to improve personal or organizational performance.""

AI가 자원(시간·에너지)을 확보해주지만 적극적 행동 자체는 인간 주도.

  • 책임성 高."
다산업 종사자,혁신적 아이디어 제안,Disseminate,"  • 제안하다",Medium,"논문 p.3(H1 논거): AI 협업으로 자원이 확보된 직원이 ""proactively propose new ideas, coordinate team efforts, or assume additional responsibilities.""

  • AI Capability: 인간이 주도하는 창의적 산출물이지만 AI 도움으로 자원이 확보됨."
다산업 종사자,데이터 분석 및 의사결정 (분석 플랫폼 활용),"Decide ",,Medium,"논문 p.3: ""analytics platforms for data processing.""

AI가 패턴 인식과 분석을 지원하지만, 결과 해석과 전략 적용은 인간 판단 필요.

제조업·금융·IT 맥락에서 AI 역량 高이나 인간 부가가치도 高."
다산업 종사자,루틴 고객 응대·정보 처리 (챗봇 기반 고객 서비스),Operate,,High,"논문 p.3(H2 논거): ""chatbots for customer service… manage routine responsibilities.""

사전 정의된 절차에 따른 정보 처리.

AI 협업으로 이 기능 부담이 줄었을 때 직원의 업무 몰입도와 적극적 행동이 증가함을 실증 (H4 지지, p.1)."
보험회사 고객 서비스 상담원,단순 고객 문의 처리 (주소 변경 등 정형화 요청),Operate,,High,"논문 p.137: ""The chatbot automated simple tasks… particularly for straightforward matters like updating a customer's address.""

AI 챗봇이 24/7 처리. 절차적·반복적 업무로 인간 부가가치 낮음.

직원들도 이 기능이 AI에 이전됨을 수용."
현장 경찰관,위험 지역 예측 기반 순찰 배치,Decide,"  • 배치하다",Medium,"논문 p.140: 미국 경찰에서 AI가 ""area predictions"" 제공 → 경찰관 배치.

AI가 예측하나 경찰관의 순찰 결정에 영향. 그러나 경찰관들이 예측 고위험 지역 배치에 저항 — ""triggered a different kind of risk awareness.""

  • 인간 Capability: 인간의 위험 감수 판단이 개입."
현장 경찰관,실시간 상황 판단,Decide,"  • 판단하다",Low,"논문 p.139–140: 스마트폰 정보 조회가 경찰관의 자세를 ""hunched-over""로 변화시켜 신체적 안전 위협.
AI가 정보를 제공해도 현장 판단·신체 대응은 100% 인간 주도.

""improved the information position… ended up deteriorating their physical safety.""

Decide 기능은 HAIC Low임을 신체적 안전 위협이라는 극적 방식으로 입증."
현장 경찰관,실시간 인물·차량 정보 조회 (스마트폰 앱 활용),Collect,"  • 조회하다",High,"논문 p.139: ""app with which they could scan driver's licenses and license plates which, through image recognition, would immediately result in a list of all past police registrations.""

AI 이미지 인식이 정보 수집 자동화. 절차적 업무."
경찰 정보 분석관,범죄 정보 현장 경찰관에게 전달,Disseminate,"  • 전달하다",Low,"논문 p.138: 인텔리전스 오피서가 현장 경찰관에게 AI 예측 결과를 전달·설명.

현장 맥락 이해와 관계 기반 소통이 필요. 인간 주도."
경찰 정보 분석관,AI 오류·편향 탐지 및 품질 검증,Validate,,Medium,"논문 p.139: 인텔리전스 오피서는 ""knowledgeable about the capabilities of AI to identify the underlying reasons for predictions or potential faulty predictions""을 요구받음.

  • 인간 Capability: AI 검증 역량 필요하나 인간 전문성도 필수. 그러나 기존 정보 직원의 교육 수준 미달로 번아웃 발생."
